Kukla         67           24        M           Brown             N
Fran          62           30        F           Blue              N
Ollie         72           29        M           Green             Y
Rocky         70           27        M           Brown             N
Bullwinkle    75           31        M           Brown             Y
Archie        69           32        M           Blue              N
Veronica      65           31        F           Green             N
Betty         64           28        F           Brown             Y
Jughead       71           23        M           Brown             N
Ozzie         72           35        M           Blue              N
Harriet       63           34        F           Green             Y
David         73           19        M           Brown             N
Ricky         70           18        M           Brown             Y
Oppie         68           23        M           Blue              N
Lucy          64           26        F           Blue              N
Ethyl         63           32        F           Brown             N
Fred          67           40        M           Brown             Y
Ralph         72           39        M           Brown             Y
Alice         64           38        F           Green             N
Ed            69           37        M           Blue              N
Trixie        66           36        F           Blue              Y
Annette       65           32        F           Green             N
Bobby         74           31        M           Brown             N
Colleen       63           30        F           Blue              N	
Jimmy         71           40        M           Brown             N
